year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2009.0,5.0,22.0,142.0,21.0,4.0,2.0,0,0,0,1,0,41.651861030999996,-87.61086669299999
2016.0,3.0,19.0,79.0,11.0,5.0,1.0,0,0,0,0,1,41.839858358,-87.73051218
2005.0,6.0,16.0,167.0,24.0,3.0,2.0,1,0,0,0,0,41.767943282,-87.651765093
2004.0,10.0,30.0,304.0,44.0,5.0,4.0,0,0,1,0,0,41.725864646,-87.559440904
2004.0,10.0,10.0,284.0,41.0,6.0,4.0,1,0,0,0,0,41.904192368000004,-87.647000785
2005.0,3.0,4.0,63.0,9.0,4.0,1.0,0,0,0,1,0,42.010367379,-87.66447553200001
2018.0,1.0,11.0,11.0,2.0,3.0,1.0,1,0,0,0,0,41.899537729,-87.7237692
2012.0,6.0,23.0,175.0,25.0,5.0,2.0,0,0,0,1,0,42.003565914,-87.76394366
2018.0,6.0,26.0,177.0,26.0,1.0,2.0,0,0,1,0,0,41.877953436999995,-87.74519102299999
2019.0,2.0,4.0,35.0,6.0,0.0,1.0,1,0,0,0,0,41.886393351,-87.765080772
2012.0,4.0,5.0,96.0,14.0,3.0,2.0,1,0,0,0,0,41.81811276,-87.60674129
2011.0,3.0,18.0,77.0,11.0,4.0,1.0,0,1,0,0,0,41.875652736,-87.76294344600002
2001.0,6.0,14.0,165.0,24.0,3.0,2.0,0,0,0,0,1,41.836828233,-87.721087675
2006.0,9.0,20.0,263.0,38.0,2.0,3.0,0,1,0,0,0,41.933895115,-87.70086554
2002.0,3.0,31.0,90.0,13.0,6.0,1.0,0,0,1,0,0,41.813400415,-87.632285385
2005.0,2.0,7.0,38.0,6.0,0.0,1.0,0,1,0,0,0,41.874938593,-87.748090013
2017.0,1.0,15.0,15.0,2.0,6.0,1.0,0,0,0,1,0,41.812638629,-87.639248659
2003.0,8.0,20.0,232.0,34.0,2.0,3.0,1,0,0,0,0,41.919519928,-87.716840299
2005.0,5.0,1.0,121.0,17.0,6.0,2.0,0,0,1,0,0,41.769727529,-87.657882734
2009.0,11.0,19.0,323.0,47.0,3.0,4.0,0,0,1,0,0,41.958761982,-87.75857040700001
2001.0,3.0,5.0,64.0,10.0,0.0,1.0,0,1,0,0,0,41.842698274,-87.61893367799999
2006.0,4.0,7.0,97.0,14.0,4.0,2.0,0,1,0,0,0,41.971627282,-87.65135940100002
2002.0,8.0,4.0,216.0,31.0,6.0,3.0,1,0,0,0,0,41.742377722,-87.541800956
2003.0,12.0,14.0,348.0,50.0,6.0,4.0,0,0,0,0,1,41.994807441999995,-87.67341580600002
2006.0,3.0,9.0,68.0,10.0,3.0,1.0,0,0,0,1,0,41.868810094000004,-87.686098441
2012.0,3.0,23.0,83.0,12.0,4.0,1.0,0,0,0,1,0,41.859653017,-87.734764453
2014.0,9.0,17.0,260.0,38.0,2.0,3.0,1,0,0,0,0,41.83755787,-87.656010329
2006.0,5.0,10.0,130.0,19.0,2.0,2.0,0,0,1,0,0,41.693168746,-87.63032282799999
2004.0,7.0,27.0,209.0,31.0,1.0,3.0,0,0,0,0,1,41.792376741999995,-87.734165979
2009.0,5.0,6.0,126.0,19.0,2.0,2.0,0,1,0,0,0,41.89771849,-87.67796454799999
2016.0,12.0,30.0,365.0,52.0,4.0,4.0,0,0,0,1,0,41.936778413,-87.648106932
2012.0,6.0,29.0,181.0,26.0,4.0,2.0,0,0,0,1,0,41.746701328,-87.61641875299999
2008.0,4.0,6.0,97.0,14.0,6.0,2.0,0,0,0,1,0,41.937953035,-87.815781393
2008.0,8.0,16.0,229.0,33.0,5.0,3.0,1,0,0,0,0,41.926897236,-87.754428407
2015.0,4.0,1.0,91.0,14.0,2.0,2.0,0,0,0,1,0,41.749121941999995,-87.55406049999998
2007.0,12.0,18.0,352.0,51.0,1.0,4.0,0,0,0,0,1,41.721331773,-87.65325056299999
